キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D45036.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805001.htm,衆法,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,冬柴　鐵三君外一名,,／,平成12年 7月 5日,／,／,／閉会中審査,,,,平成12年 7月 6日,／,,／,／,／,／
衆法の一覧,,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D450BE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805002.htm,衆法,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,北橋　健治君外六名,,／,平成12年 7月 5日,／,／,／閉会中審査,,,,平成12年 7月 6日,／,,／,／,／,／
衆法の一覧,,148,3,国会議員の地位利用収賄等の処罰に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4504A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805003.htm,衆法,148,3,国会議員の地位利用収賄等の処罰に関する法律案,松本　龍君外七名,,／,平成12年 7月 5日,／,／,／閉会中審査,,,,平成12年 7月 6日,／,,／,／,／,／
決算その他,決算,147,,平成十年度一般会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44D72.htm,,,決算,147,,平成十年度一般会計歳入歳出決算,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,147,,平成十年度特別会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44D6E.htm,,,決算,147,,平成十年度特別会計歳入歳出決算,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,147,,平成十年度国税収納金整理資金受払計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44D6A.htm,,,決算,147,,平成十年度国税収納金整理資金受払計算書,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,147,,平成十年度政府関係機関決算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44D66.htm,,,決算,147,,平成十年度政府関係機関決算書,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,147,,平成十年度国有財産増減及び現在額総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44ECA.htm,,,国有財産,147,,平成十年度国有財産増減及び現在額総計算書,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,147,,平成十年度国有財産無償貸付状況総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44EC6.htm,,,国有財産,147,,平成十年度国有財産無償貸付状況総計算書,内閣,,／,,平成12年 7月 5日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,ＮＨＫ決算,147,,日本放送協会平成十年度財産目録、貸借対照表及び損益計算書,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D44EC2.htm,,,ＮＨＫ決算,147,,日本放送協会平成十年度財産目録、貸借対照表及び損益計算書,内閣,,／,,平成12年 7月 5日／逓信,／審査未了,／,,,,,／,,／,／,／,／
