キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB1B2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305005.htm,衆法,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,中川　正春君外五名,,／,,平成26年 9月29日／農林水産,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,6,国有林野事業に従事する職員の給与等に関する特例法案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB1B6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305006.htm,衆法,183,6,国有林野事業に従事する職員の給与等に関する特例法案,中川　正春君外五名,,／,,平成26年 9月29日／農林水産,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB2BA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305008.htm,衆法,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,海江田　万里君外六名,,／,,平成26年 9月29日／政治倫理の確立及び公職選挙法改正に関する特別,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB2C2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305013.htm,衆法,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,園田　博之君外十一名,,／,,平成26年 9月29日／政治倫理の確立及び公職選挙法改正に関する特別,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,23,地方自治法及び国会法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB2AA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305023.htm,衆法,183,23,地方自治法及び国会法の一部を改正する法律案,浦野　靖人君外四名,,／,,平成26年 9月29日／議院運営,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,30,行政改革の総合的かつ集中的な実行に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB1DE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305030.htm,衆法,183,30,行政改革の総合的かつ集中的な実行に関する法律案,松本　剛明君外二名,,／,,平成26年 9月29日／内閣,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,35,任命に当たり両議院の同意を要する国家公務員等の範囲の適正化等のための関係法律の整備に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB2B2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305035.htm,衆法,183,35,任命に当たり両議院の同意を要する国家公務員等の範囲の適正化等のための関係法律の整備に関する法律案,馬場　伸幸君外四名,,／,,平成26年 9月29日／議院運営,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,37,租税特別措置法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB23E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305037.htm,衆法,183,37,租税特別措置法の一部を改正する法律案,桜内　文城君外二名,,／,,平成26年 9月29日／財務金融,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,44,国等が行う公共工事についての地元建設業者の受注の確保等に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB25A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305044.htm,衆法,183,44,国等が行う公共工事についての地元建設業者の受注の確保等に関する法律案,衛藤　征士郎君外二名,,／,,平成26年 9月29日／国土交通,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,46,道州制への移行のための改革基本法案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBB1AA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305046.htm,衆法,183,46,道州制への移行のための改革基本法案,松浪　健太君外三名,,／,,平成26年 9月29日／内閣,／審査未了,／,,,,,／,,／,／,／,／
