キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,195,1,特定フィブリノゲン製剤及び特定血液凝固第�\因子製剤によるＣ型肝炎感染被害者を救済するための給付金の支給に関する特別措置法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC69D6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505001.htm,衆法,195,1,特定フィブリノゲン製剤及び特定血液凝固第�\因子製剤によるＣ型肝炎感染被害者を救済するための給付金の支給に関する特別措置法の一部を改正する法律案,厚生労働委員長,,／,平成29年12月 1日,／審査省略,／,平成29年12月 5日／可決,全会一致,自由民主党; 立憲民主党・市民クラブ; 希望の党・無所属クラブ; 公明党; 無所属の会; 日本共産党; 日本維新の会; 自由党; 社会民主党・市民連合,,平成29年12月 4日,／,平成29年12月 5日,平成29年12月 6日／厚生労働,平成29年12月 7日／可決,平成29年12月 8日／可決,平成29年12月15日／85
衆法の一覧,,195,2,ギャンブル等依存症対策基本法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A2E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505002.htm,衆法,195,2,ギャンブル等依存症対策基本法案,中谷　元君外五名,,／,平成29年12月 1日,平成29年12月 7日／内閣,／,／閉会中審査,,,,平成29年12月 4日,／,,／,／,／,／
衆法の一覧,,195,3,国会議員の秘書の給与等に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A32.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505003.htm,衆法,195,3,国会議員の秘書の給与等に関する法律の一部を改正する法律案,議院運営委員長,,／,平成29年12月 5日,／審査省略,／,平成29年12月 5日／可決,多数,自由民主党; 立憲民主党・市民クラブ; 希望の党・無所属クラブ; 公明党; 無所属の会; 日本共産党; 自由党; 社会民主党・市民連合,日本維新の会,平成29年12月 5日,／,平成29年12月 5日,平成29年12月 7日／議院運営,平成29年12月 8日／可決,平成29年12月 8日／可決,平成29年12月15日／80
衆法の一覧,,195,4,公文書等の管理に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A46.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505004.htm,衆法,195,4,公文書等の管理に関する法律の一部を改正する法律案,篠原　豪君外十七名,,／,平成29年12月 5日,平成29年12月 7日／内閣,／,／閉会中審査,,,,平成29年12月 6日,／,,／,／,／,／
衆法の一覧,,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A4E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505005.htm,衆法,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,後藤　祐一君外十五名,,／,平成29年12月 5日,平成29年12月 7日／総務,／,／閉会中審査,,,,平成29年12月 6日,／,,／,／,／,／
衆法の一覧,,195,6,ギャンブル依存症対策基本法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A6A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505006.htm,衆法,195,6,ギャンブル依存症対策基本法案,初鹿　明博君外十名,,／,平成29年12月 6日,平成29年12月 6日／内閣,／,／閉会中審査,,,,平成29年12月 6日,／,,／,／,／,／
衆法の一覧,,195,7,特定複合観光施設区域の整備の推進に関する法律を廃止する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A56.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505007.htm,衆法,195,7,特定複合観光施設区域の整備の推進に関する法律を廃止する法律案,初鹿　明博君外十名,,／,平成29年12月 6日,平成29年12月 7日／内閣,／,／閉会中審査,,,,平成29年12月 6日,／,,／,／,／,／
衆法の一覧,,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6A5E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505008.htm,衆法,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,山尾　志桜里君外七名,,／,平成29年12月 6日,平成29年12月 7日／法務,／,／閉会中審査,,,,平成29年12月 6日,／,,／,／,／,／
参法の一覧,,195,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6616.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19506001.htm,参法,195,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,藤巻　健史君,平成29年11月20日,／,,／,／,／,,,,,／,平成29年11月16日,／,／,／,／
参法の一覧,,195,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC661A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19506002.htm,参法,195,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,浅田　均君,平成29年11月20日,／,,／,／,／,,,,,／,平成29年11月16日,／,／,／,／
