キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EDA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305005.htm,衆法,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,中川　正春君外五名,,／,,平成26年 1月24日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,6,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EDE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305006.htm,衆法,183,6,国有林野事業に従事する職員の給与等に関する特例法案,中川　正春君外五名,,／,,平成26年 1月24日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E5E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305008.htm,衆法,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,海江田　万里君外六名,,／,,平成26年 1月24日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E62.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305013.htm,衆法,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,園田　博之君外十一名,,／,,平成26年 1月24日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,14,日本国憲法の改正手続に関する法律の一部を改正する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EAE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305014.htm,衆法,183,14,日本国憲法の改正手続に関する法律の一部を改正する法律案,馬場　伸幸君外三名,,／,,平成26年 1月24日／憲法審査会,平成26年 4月10日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,15,アレルギー疾患対策基本法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6F16.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305015.htm,衆法,183,15,アレルギー疾患対策基本法案,江田　康幸君外二名,,／,,平成26年 1月24日／厚生労働,平成26年 5月23日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,21,国民が受ける医療の質の向上のための医療機器の研究開発及び普及の促進に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6F1E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305021.htm,衆法,183,21,国民が受ける医療の質の向上のための医療機器の研究開発及び普及の促進に関する法律案,御法川　信英君外四名,,／,,平成26年 1月24日／厚生労働,平成26年 5月23日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,22,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EBE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305022.htm,衆法,183,22,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,高市　早苗君外五名,,／,,平成26年 1月24日／法務,平成26年 6月 4日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,23,地方自治法及び国会法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E52.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305023.htm,衆法,183,23,地方自治法及び国会法の一部を改正する法律案,浦野　靖人君外四名,,／,,平成26年 1月24日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,25,教育委員会制度を廃止する等のための地方自治法等の一部を改正する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EFE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305025.htm,衆法,183,25,教育委員会制度を廃止する等のための地方自治法等の一部を改正する法律案,中田　宏君外四名,,／,,平成26年 1月24日／文部科学,平成26年 4月16日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,26,農業者戸別所得補償法案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EE2.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305026.htm,衆法,183,26,農業者戸別所得補償法案,大串　博志君外六名,,／,,平成26年 1月24日／農林水産,平成26年 4月23日／否決,平成26年 4月25日／否決,,,,,／,,／,／,／,／
衆法の一覧,,183,27,介護従事者等の人材確保に関する特別措置法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6F1A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305027.htm,衆法,183,27,介護従事者等の人材確保に関する特別措置法案,柚木　道義君外五名,,／,,平成26年 1月24日／厚生労働,平成26年 4月18日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,29,特定複合観光施設区域の整備の推進に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E6A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305029.htm,衆法,183,29,特定複合観光施設区域の整備の推進に関する法律案,石関　貴史君外四名,,／,,平成26年 1月24日／内閣,平成26年 2月19日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,30,行政改革の総合的かつ集中的な実行に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E7A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305030.htm,衆法,183,30,行政改革の総合的かつ集中的な実行に関する法律案,松本　剛明君外二名,,／,,平成26年 1月24日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,31,独立行政法人通則法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E7E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305031.htm,衆法,183,31,独立行政法人通則法の一部を改正する法律案,松本　剛明君外三名,,／,,平成26年 1月24日／内閣,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,33,国及び地方公共団体の責任ある財政運営の確保を図るための財政の健全化の推進に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EEA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305033.htm,衆法,183,33,国及び地方公共団体の責任ある財政運営の確保を図るための財政の健全化の推進に関する法律案,前原　誠司君外三名,,／,,平成26年 1月24日／財務金融,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,183,35,任命に当たり両議院の同意を要する国家公務員等の範囲の適正化等のための関係法律の整備に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E56.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305035.htm,衆法,183,35,任命に当たり両議院の同意を要する国家公務員等の範囲の適正化等のための関係法律の整備に関する法律案,馬場　伸幸君外四名,,／,,平成26年 1月24日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,37,租税特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EEE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305037.htm,衆法,183,37,租税特別措置法の一部を改正する法律案,桜内　文城君外二名,,／,,平成26年 1月24日／財務金融,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,44,国等が行う公共工事についての地元建設業者の受注の確保等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6D5A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305044.htm,衆法,183,44,国等が行う公共工事についての地元建設業者の受注の確保等に関する法律案,衛藤　征士郎君外二名,,／,,平成26年 1月24日／国土交通,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,45,地方教育行政の適正な運営の確保に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EFA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305045.htm,衆法,183,45,地方教育行政の適正な運営の確保に関する法律案,笠　浩史君外二名,,／,,平成26年 1月24日／文部科学,平成26年 4月16日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,183,46,道州制への移行のための改革基本法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E8E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305046.htm,衆法,183,46,道州制への移行のための改革基本法案,松浪　健太君外三名,,／,,平成26年 1月24日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,49,東日本大震災からの復興の推進のための復興整備事業の実施に必要な権利者による土地等の処分の迅速化に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E72.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305049.htm,衆法,183,49,東日本大震災からの復興の推進のための復興整備事業の実施に必要な権利者による土地等の処分の迅速化に関する法律案,黄川田　徹君外九名,,／,,平成26年 1月24日／東日本大震災復興特別,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,185,1,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E86.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18505001.htm,衆法,185,1,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,枝野　幸男君外二名,,／,,平成26年 1月24日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,185,3,地方自治法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6E32.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18505003.htm,衆法,185,3,地方自治法の一部を改正する法律案,原口　一博君外五名,,／,,平成26年 1月24日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,185,4,公的資金再生事業者と同種の業務を営む事業者との対等な競争条件の確保に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6EC6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18505004.htm,衆法,185,4,公的資金再生事業者と同種の業務を営む事業者との対等な競争条件の確保に関する法律案,原田　義昭君外二名,,／,,平成26年 1月24日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
