キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,188,1,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD1A6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805001.htm,衆法,188,1,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,江田　憲司君外四名,,／,,平成27年 1月26日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,188,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD166.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805002.htm,衆法,188,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,江田　憲司君外四名,,／,,平成27年 1月26日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,188,3,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD16E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805003.htm,衆法,188,3,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,江田　憲司君外四名,,／,,平成27年 1月26日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,188,4,租税特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD12E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805004.htm,衆法,188,4,租税特別措置法の一部を改正する法律案,江田　憲司君外四名,,／,,平成27年 1月26日／財務金融,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,189,1,政党助成法を廃止する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD21E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905001.htm,衆法,189,1,政党助成法を廃止する法律案,穀田　恵二君,,／,平成27年 1月26日,平成27年 4月16日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,平成27年 1月26日,／,,／,／,／,／
衆法の一覧,,189,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD2DE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905002.htm,衆法,189,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,江田　憲司君外四名,,／,平成27年 2月18日,平成27年 9月24日／議院運営,／,／閉会中審査,,,,平成27年 2月19日,／,,／,／,／,／
衆法の一覧,,189,3,政治資金規正法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD582.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905003.htm,衆法,189,3,政治資金規正法の一部を改正する法律案,江田　憲司君外四名,,／,平成27年 2月27日,平成27年 4月16日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,平成27年 3月 2日,／,,／,／,／,／
衆法の一覧,,189,4,格差是正及び経済成長のために講ずべき税制上の措置等に関する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD5BE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905004.htm,衆法,189,4,格差是正及び経済成長のために講ずべき税制上の措置等に関する法律案,古川　元久君外三名,,／,平成27年 3月 3日,平成27年 3月 3日／財務金融,平成27年 3月13日／否決,平成27年 3月13日／否決,少数,民主党・無所属クラブ,自由民主党; 維新の党; 公明党; 日本共産党; 次世代の党; 生活の党と山本太郎となかまたち; 社会民主党・市民連合,平成27年 3月 3日,／,,／,／,／,／
衆法の一覧,,189,5,公職選挙法等の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD526.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905005.htm,衆法,189,5,公職選挙法等の一部を改正する法律案,船田　元君外七名,,／,平成27年 3月 5日,平成27年 5月26日／政治倫理の確立及び公職選挙法改正に関する特別,平成27年 6月 2日／可決,平成27年 6月 4日／可決,全会一致,自由民主党; 民主党・無所属クラブ; 維新の党; 公明党; 日本共産党; 次世代の党; 生活の党と山本太郎となかまたち; 社会民主党・市民連合,,平成27年 3月 6日,／,平成27年 6月 4日,平成27年 6月 4日／政治倫理の確立及び選挙制度に関する特別,平成27年 6月15日／可決,平成27年 6月17日／可決,平成27年 6月19日／43
衆法の一覧,,189,6,山村振興法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD8C2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18905006.htm,衆法,189,6,山村振興法の一部を改正する法律案,農林水産委員長,,／,平成27年 3月19日,／審査省略,／,平成27年 3月24日／可決,全会一致,自由民主党; 民主党・無所属クラブ; 維新の党; 公明党; 日本共産党; 次世代の党; 生活の党と山本太郎となかまたち; 社会民主党・市民連合,,平成27年 3月20日,／,平成27年 3月24日,平成27年 3月30日／農林水産,平成27年 3月31日／可決,平成27年 3月31日／可決,平成27年 3月31日／7
