キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,206,1,新型コロナウイルス感染症等の影響に対応するための低所得者等に対する特別給付金の支給に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4AF2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20605001.htm,衆法,206,1,新型コロナウイルス感染症等の影響に対応するための低所得者等に対する特別給付金の支給に関する法律案,長妻　昭君外十二名,,／,,令和 3年12月 6日／厚生労働,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,207,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4C96.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705001.htm,衆法,207,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,足立　康史君外一名,,／,令和 3年12月 6日,令和 3年12月20日／議院運営,／,／閉会中審査,,,,令和 3年12月 7日,／,,／,／,／,／
衆法の一覧,,207,2,揮発油等の価格の高騰から国民生活及び国民経済を守るための東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律及び地方税法の一部を改正する等の法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4C9A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705002.htm,衆法,207,2,揮発油等の価格の高騰から国民生活及び国民経済を守るための東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律及び地方税法の一部を改正する等の法律案,足立　康史君外二名,,／,令和 3年12月 6日,令和 3年12月20日／財務金融,／,／閉会中審査,,,,令和 3年12月 7日,／,,／,／,／,／
衆法の一覧,,207,3,現下の揮発油等の価格の高騰から国民生活及び国民経済を守るための揮発油税等に関する法律の臨時特例等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4CBA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705003.htm,衆法,207,3,現下の揮発油等の価格の高騰から国民生活及び国民経済を守るための揮発油税等に関する法律の臨時特例等に関する法律案,末松　義規君外七名,,／,令和 3年12月 7日,令和 3年12月20日／財務金融,／,／閉会中審査,,,,令和 3年12月 8日,／,,／,／,／,／
衆法の一覧,,207,4,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4CB6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705004.htm,衆法,207,4,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,篠原　孝君外七名,,／,令和 3年12月 7日,令和 3年12月20日／議院運営,／,／閉会中審査,,,,令和 3年12月 8日,／,,／,／,／,／
衆法の一覧,,207,5,新型コロナウイルス感染症関連子育て世帯支援給付金の支給の実施における地方公共団体の自主性の確保等に関する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4CF6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705005.htm,衆法,207,5,新型コロナウイルス感染症関連子育て世帯支援給付金の支給の実施における地方公共団体の自主性の確保等に関する法律案,森山　浩行君外九名,,／,令和 3年12月10日,令和 3年12月20日／内閣,／審査未了,／,,,,令和 3年12月13日,／,,／,／,／,／
衆法の一覧,,207,6,新型コロナウイルス感染症等による経済活動への影響に対する当面の対策として消費税の税率を引き下げる等のために講ずべき措置に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4CF2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705006.htm,衆法,207,6,新型コロナウイルス感染症等による経済活動への影響に対する当面の対策として消費税の税率を引き下げる等のために講ずべき措置に関する法律案,足立　康史君外四名,,／,令和 3年12月10日,令和 3年12月20日／財務金融,／,／閉会中審査,,,,令和 3年12月13日,／,,／,／,／,／
衆法の一覧,,207,7,令和三年度子育て世帯等臨時特別給付金に係る差押禁止等に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4D3A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705007.htm,衆法,207,7,令和三年度子育て世帯等臨時特別給付金に係る差押禁止等に関する法律案,内閣委員長,,／,令和 3年12月15日,／審査省略,／,令和 3年12月15日／可決,全会一致,自由民主党; 立憲民主党・無所属; 日本維新の会; 公明党; 国民民主党・無所属クラブ; 日本共産党; 有志の会; れいわ新選組,,令和 3年12月15日,／,令和 3年12月15日,令和 3年12月17日／内閣,令和 3年12月20日／可決,令和 3年12月20日／可決,令和 3年12月20日／85
衆法の一覧,,207,8,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4D36.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705008.htm,衆法,207,8,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,議院運営委員長,,／,令和 3年12月15日,／審査省略,／,令和 3年12月15日／可決,多数,自由民主党; 立憲民主党・無所属; 日本維新の会; 公明党; 国民民主党・無所属クラブ; 日本共産党; 有志の会,,令和 3年12月15日,／,令和 3年12月15日,令和 3年12月15日／議院運営,令和 3年12月20日／可決,令和 3年12月20日／可決,令和 3年12月24日／86
衆法の一覧,,207,9,自衛隊法及び海上保安庁法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4D3E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705009.htm,衆法,207,9,自衛隊法及び海上保安庁法の一部を改正する法律案,前原　誠司君外一名,,／,令和 3年12月16日,令和 3年12月20日／安全保障,／,／閉会中審査,,,,令和 3年12月16日,／,,／,／,／,／
