キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC2E.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305002.htm,衆法,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,宮路和明君外三名,,／,,平成18年 1月20日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC12.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305006.htm,衆法,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,小宮山　洋子君外四名,,／,,平成18年 1月20日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC52.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305007.htm,衆法,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,山田　正彦君外六名,,／,,平成18年 1月20日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC56.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305008.htm,衆法,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,山田　正彦君外六名,,／,,平成18年 1月20日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,12,道路交通法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC16.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305012.htm,衆法,163,12,道路交通法の一部を改正する法律案,小宮山　洋子君外三名,,／,,平成18年 1月20日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC5E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305014.htm,衆法,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,冬柴　鐵三君外二名,,／,,平成18年 1月20日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,15,海底資源開発推進法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC06.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305015.htm,衆法,163,15,海底資源開発推進法案,細野　豪志君外四名,,／,,平成18年 1月20日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC0A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305016.htm,衆法,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,細野　豪志君外四名,,／,,平成18年 1月20日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,18,戦後強制抑留者に対する特別給付金の支給に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC46.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305018.htm,衆法,163,18,戦後強制抑留者に対する特別給付金の支給に関する法律案,長妻　昭君外六名,,／,,平成18年 1月20日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,19,独立行政法人平和祈念事業特別基金等に関する法律を廃止する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9BC4A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305019.htm,衆法,163,19,独立行政法人平和祈念事業特別基金等に関する法律を廃止する法律案,長妻　昭君外六名,,／,,平成18年 1月20日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
