キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,173,1,北朝鮮特定貨物の検査等に関する特別措置法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA78D2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305001.htm,衆法,173,1,北朝鮮特定貨物の検査等に関する特別措置法案,石破　茂君外十名,,／,平成21年10月28日,平成21年11月20日／国土交通,／,／閉会中審査,,,,平成21年10月29日,／,,／,／,／,／
衆法の一覧,,173,2,肝炎対策基本法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA798E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305002.htm,衆法,173,2,肝炎対策基本法案,川崎　二郎君外八名,,／,平成21年11月10日,平成21年11月18日／厚生労働,平成21年11月26日／撤回,／,,,,平成21年11月11日,／,,／,／,／,／
衆法の一覧,,173,3,政治資金規正法及び政党助成法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA79A2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305003.htm,衆法,173,3,政治資金規正法及び政党助成法の一部を改正する法律案,大口　善徳君,,／,平成21年11月11日,平成21年12月 1日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,平成21年11月12日,／,,／,／,／,／
衆法の一覧,,173,4,ＰＴＡ・青少年教育団体共済法案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7A26.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305004.htm,衆法,173,4,ＰＴＡ・青少年教育団体共済法案,馳　浩君外五名,,／,平成21年11月20日,平成21年12月 1日／文部科学,／審査未了,／,,,,平成21年11月24日,／,,／,／,／,／
衆法の一覧,,173,5,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7A3E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305005.htm,衆法,173,5,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,高市　早苗君外三名,,／,平成21年11月20日,平成21年12月 1日／法務,／,／閉会中審査,,,,平成21年11月24日,／,,／,／,／,／
衆法の一覧,,173,6,障害者虐待の防止、障害者の養護者に対する支援等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7AB6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305006.htm,衆法,173,6,障害者虐待の防止、障害者の養護者に対する支援等に関する法律案,馳　浩君外四名,,／,平成21年11月25日,平成21年12月 1日／厚生労働,／,／閉会中審査,,,,平成21年11月26日,／,,／,／,／,／
衆法の一覧,,173,7,肝炎対策基本法案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7B2E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305007.htm,衆法,173,7,肝炎対策基本法案,厚生労働委員長,,／,平成21年11月26日,／審査省略,／,平成21年11月26日／可決,,,,平成21年11月26日,平成21年11月26日／厚生労働,平成21年11月26日,平成21年11月26日／厚生労働,平成21年11月27日／可決,平成21年11月30日／可決,平成21年12月 4日／97
衆法の一覧,,173,8,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA78DA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305008.htm,衆法,173,8,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,議院運営委員長,,／,平成21年11月26日,／審査省略,／,平成21年11月26日／可決,,,,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月30日／可決,平成21年11月30日／可決,平成21年11月30日／88
衆法の一覧,,173,9,国会議員の秘書の給与等に関する法律等の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA78E2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305009.htm,衆法,173,9,国会議員の秘書の給与等に関する法律等の一部を改正する法律案,議院運営委員長,,／,平成21年11月26日,／審査省略,／,平成21年11月26日／可決,,,,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月30日／可決,平成21年11月30日／可決,平成21年11月30日／89
衆法の一覧,,173,10,国会職員の育児休業等に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA78D6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305010.htm,衆法,173,10,国会職員の育児休業等に関する法律の一部を改正する法律案,議院運営委員長,,／,平成21年11月26日,／審査省略,／,平成21年11月26日／可決,,,,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月26日,平成21年11月26日／議院運営,平成21年11月30日／可決,平成21年11月30日／可決,平成21年11月30日／94
衆法の一覧,,173,11,地域住民等による安全で安心して暮らせるまちづくりの推進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7B56.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305011.htm,衆法,173,11,地域住民等による安全で安心して暮らせるまちづくりの推進に関する法律案,井上　信治君外三名,,／,平成21年11月26日,平成21年12月 1日／内閣,／,／閉会中審査,,,,平成21年11月27日,／,,／,／,／,／
衆法の一覧,,173,12,国等による障害者就労施設からの物品等の調達の推進等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA7B12.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g17305012.htm,衆法,173,12,国等による障害者就労施設からの物品等の調達の推進等に関する法律案,田村　憲久君外六名,,／,平成21年11月26日,平成21年12月 1日／厚生労働,／,／閉会中審査,,,,平成21年11月27日,／,,／,／,／,／
