キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,188,1,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD0DA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805001.htm,衆法,188,1,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,江田　憲司君外四名,,／,平成26年12月25日,平成26年12月25日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,平成26年12月25日,／,,／,／,／,／
衆法の一覧,,188,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD0E6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805002.htm,衆法,188,2,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,江田　憲司君外四名,,／,平成26年12月25日,平成26年12月25日／議院運営,／,／閉会中審査,,,,平成26年12月25日,／,,／,／,／,／
衆法の一覧,,188,3,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD0F2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805003.htm,衆法,188,3,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,江田　憲司君外四名,,／,平成26年12月25日,平成26年12月25日／議院運営,／,／閉会中審査,,,,平成26年12月25日,／,,／,／,／,／
衆法の一覧,,188,4,租税特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBD0FE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18805004.htm,衆法,188,4,租税特別措置法の一部を改正する法律案,江田　憲司君外四名,,／,平成26年12月25日,平成26年12月25日／財務金融,／,／閉会中審査,,,,平成26年12月25日,／,,／,／,／,／
決算その他,決算,185,,平成二十四年度一般会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC85E.htm,,,決算,185,,平成二十四年度一般会計歳入歳出決算,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,185,,平成二十四年度特別会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC866.htm,,,決算,185,,平成二十四年度特別会計歳入歳出決算,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,185,,平成二十四年度国税収納金整理資金受払計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC876.htm,,,決算,185,,平成二十四年度国税収納金整理資金受払計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,185,,平成二十四年度政府関係機関決算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC87E.htm,,,決算,185,,平成二十四年度政府関係機関決算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,187,,平成二十五年度一般会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC82E.htm,,,決算,187,,平成二十五年度一般会計歳入歳出決算,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,187,,平成二十五年度特別会計歳入歳出決算,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC836.htm,,,決算,187,,平成二十五年度特別会計歳入歳出決算,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,187,,平成二十五年度国税収納金整理資金受払計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC83E.htm,,,決算,187,,平成二十五年度国税収納金整理資金受払計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,決算,187,,平成二十五年度政府関係機関決算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC846.htm,,,決算,187,,平成二十五年度政府関係機関決算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,185,,平成二十四年度国有財産増減及び現在額総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC886.htm,,,国有財産,185,,平成二十四年度国有財産増減及び現在額総計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,185,,平成二十四年度国有財産無償貸付状況総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC88E.htm,,,国有財産,185,,平成二十四年度国有財産無償貸付状況総計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,187,,平成二十五年度国有財産増減及び現在額総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC84E.htm,,,国有財産,187,,平成二十五年度国有財産増減及び現在額総計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,国有財産,187,,平成二十五年度国有財産無償貸付状況総計算書,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC856.htm,,,国有財産,187,,平成二十五年度国有財産無償貸付状況総計算書,内閣,,／,,平成26年12月25日／決算行政監視,／,／閉会中審査,,,,,／,,／,／,／,／
決算その他,ＮＨＫ決算,185,,日本放送協会平成二十四年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC896.htm,,,ＮＨＫ決算,185,,日本放送協会平成二十四年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,内閣,,／,,平成26年12月25日／総務,／審査未了,／,,,,,／,,／,／,／,／
決算その他,ＮＨＫ決算,187,,日本放送協会平成二十五年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DBC86E.htm,,,ＮＨＫ決算,187,,日本放送協会平成二十五年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書,内閣,,／,,平成26年12月25日／総務,／審査未了,／,,,,,／,,／,／,／,／
