キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB5FFE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305005.htm,衆法,183,5,国有林野事業に従事する職員の労働関係を円滑に調整するための特定独立行政法人の労働関係に関する法律の一部を改正する法律案,中川　正春君外五名,,／,,平成25年10月15日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,6,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6002.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305006.htm,衆法,183,6,国有林野事業に従事する職員の給与等に関する特例法案,中川　正春君外五名,,／,,平成25年10月15日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB611E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305008.htm,衆法,183,8,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,海江田　万里君外六名,,／,,平成25年10月15日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6122.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305013.htm,衆法,183,13,公職選挙法及び衆議院議員選挙区画定審議会設置法の一部を改正する法律案,園田　博之君外十一名,,／,,平成25年10月15日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,14,日本国憲法の改正手続に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB60FE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305014.htm,衆法,183,14,日本国憲法の改正手続に関する法律の一部を改正する法律案,馬場　伸幸君外三名,,／,,平成25年10月15日／憲法審査会,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,15,アレルギー疾患対策基本法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB5FC2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305015.htm,衆法,183,15,アレルギー疾患対策基本法案,江田　康幸君外二名,,／,,平成25年10月15日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,18,防災・減災等に資する国土強靱化基本法案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6132.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305018.htm,衆法,183,18,防災・減災等に資する国土強靱化基本法案,二階　俊博君外十一名,,／,,平成25年10月15日／災害対策特別,平成25年11月22日／修正,平成25年11月26日／修正,,,,,／,平成25年11月26日,平成25年12月 2日／災害対策特別,平成25年12月 3日／可決,平成25年12月 4日／可決,平成25年12月11日／95
衆法の一覧,,183,21,国民が受ける医療の質の向上のための医療機器の研究開発及び普及の促進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB5FF6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305021.htm,衆法,183,21,国民が受ける医療の質の向上のための医療機器の研究開発及び普及の促進に関する法律案,御法川　信英君外四名,,／,,平成25年10月15日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,22,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB5F76.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305022.htm,衆法,183,22,児童買春、児童ポルノに係る行為等の処罰及び児童の保護等に関する法律の一部を改正する法律案,高市　早苗君外五名,,／,,平成25年10月15日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,23,地方自治法及び国会法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB60F6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305023.htm,衆法,183,23,地方自治法及び国会法の一部を改正する法律案,浦野　靖人君外四名,,／,,平成25年10月15日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,25,教育委員会制度を廃止する等のための地方自治法等の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB5FBA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305025.htm,衆法,183,25,教育委員会制度を廃止する等のための地方自治法等の一部を改正する法律案,中田　宏君外四名,,／,,平成25年10月15日／文部科学,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,183,26,農業者戸別所得補償法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DB6006.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g18305026.htm,衆法,183,26,農業者戸別所得補償法案,大串　博志君外六名,,／,,平成25年10月15日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
