キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D48776.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805001.htm,衆法,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,冬柴　鐵三君外一名,,／,,平成12年 9月21日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D486D6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805002.htm,衆法,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,北橋　健治君外六名,,／,,平成12年 9月21日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,148,3,国会議員の地位利用収賄等の処罰に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4864A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805003.htm,衆法,148,3,国会議員の地位利用収賄等の処罰に関する法律案,松本　龍君外七名,,／,,平成12年 9月21日／政治倫理の確立及び公職選挙法改正に関する特別,平成12年10月23日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,150,1,公職にある者等のあっせん行為による利得等の処罰に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4873A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005001.htm,衆法,150,1,公職にある者等のあっせん行為による利得等の処罰に関する法律案,亀井　善之君外十七名,,／,平成12年 9月22日,平成12年10月 5日／政治倫理の確立及び公職選挙法改正に関する特別,平成12年11月 9日／可決,平成12年11月10日／可決,,,,平成12年 9月25日,／,平成12年11月10日,平成12年11月13日／政治倫理の確立及び選挙制度に関する特別,平成12年11月20日／可決,平成12年11月22日／可決,平成12年11月29日／130
衆法の一覧,,150,2,公職にある者等による特定の者に利益を得させる目的でのあっせん行為に係る収賄等の処罰に関する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4877A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005002.htm,衆法,150,2,公職にある者等による特定の者に利益を得させる目的でのあっせん行為に係る収賄等の処罰に関する法律案,菅　直人君外十二名,,／,平成12年 9月27日,平成12年10月 5日／政治倫理の確立及び公職選挙法改正に関する特別,平成12年11月 9日／否決,平成12年11月10日／否決,,,,平成12年 9月28日,／,,／,／,／,／
衆法の一覧,,150,3,少年法等の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4866E.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005003.htm,衆法,150,3,少年法等の一部を改正する法律案,麻生　太郎君外五名,,／,平成12年 9月29日,平成12年10月 6日／法務,平成12年10月31日／可決,平成12年10月31日／可決,,,,平成12年10月 2日,／,平成12年10月31日,平成12年11月 8日／法務,平成12年11月24日／修正,平成12年11月27日／修正,平成12年12月 6日／142
衆法の一覧,,150,3,少年法等の一部を改正する法律案,参議院回付案（同意）,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4868E.htm,,,衆法,150,3,少年法等の一部を改正する法律案,,,／,平成12年11月27日,／,／,平成12年11月28日／同意,,,,,／,,／,／,／,／
衆法の一覧,,150,4,警察法の一部を改正する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4872A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005004.htm,衆法,150,4,警察法の一部を改正する法律案,桑原　豊君外四名,,／,平成12年10月18日,平成12年10月19日／地方行政,平成12年11月 2日／否決,平成12年11月 2日／否決,,,,平成12年10月18日,／,,／,／,／,／
衆法の一覧,,150,5,公職選挙法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D486EA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005005.htm,衆法,150,5,公職選挙法の一部を改正する法律案,岡田　克也君外二名,,／,平成12年10月23日,／,／,／,,,,平成12年10月24日,／,,／,／,／,／
衆法の一覧,,150,6,租税特別措置法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4870A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005006.htm,衆法,150,6,租税特別措置法の一部を改正する法律案,大蔵委員長,,／,平成12年10月24日,／審査省略,／,平成12年10月24日／可決,,,,平成12年10月24日,／,平成12年10月24日,平成12年10月30日／財政・金融,平成12年10月31日／可決,平成12年11月 1日／可決,平成12年11月 8日／119
