キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,195,2,ギャンブル等依存症対策基本法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6AAA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505002.htm,衆法,195,2,ギャンブル等依存症対策基本法案,中谷　元君外五名,,／,,平成30年 1月22日／内閣,平成30年 5月16日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,195,4,公文書等の管理に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6AC6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505004.htm,衆法,195,4,公文書等の管理に関する法律の一部を改正する法律案,篠原　豪君外十六名,,／,,平成30年 1月22日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6ADE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505005.htm,衆法,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,後藤　祐一君外十四名,,／,,平成30年 1月22日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,195,6,ギャンブル依存症対策基本法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6ACE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505006.htm,衆法,195,6,ギャンブル依存症対策基本法案,初鹿　明博君外十名,,／,,平成30年 1月22日／内閣,平成30年 7月20日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,195,7,特定複合観光施設区域の整備の推進に関する法律を廃止する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6AD6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505007.htm,衆法,195,7,特定複合観光施設区域の整備の推進に関する法律を廃止する法律案,初鹿　明博君外十名,,／,,平成30年 1月22日／内閣,／審査未了,／,,,,,／,,／,／,／,／
衆法の一覧,,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6AF6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505008.htm,衆法,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,山尾　志桜里君外六名,,／,,平成30年 1月22日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,1,株式会社東日本大震災事業者再生支援機構法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC6D16.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605001.htm,衆法,196,1,株式会社東日本大震災事業者再生支援機構法の一部を改正する法律案,東日本大震災復興特別委員長,,／,平成30年 1月29日,／審査省略,／,平成30年 1月30日／可決,全会一致,自由民主党; 立憲民主党・市民クラブ; 希望の党・無所属クラブ; 公明党; 無所属の会; 日本共産党; 日本維新の会; 自由党; 社会民主党・市民連合,,平成30年 1月30日,平成30年 1月30日／東日本大震災復興特別,平成30年 1月30日,平成30年 1月30日／東日本大震災復興特別,平成30年 1月31日／可決,平成30年 2月 1日／可決,平成30年 2月 7日／1
衆法の一覧,,196,2,被災者生活再建支援法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC83DA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605002.htm,衆法,196,2,被災者生活再建支援法の一部を改正する法律案,階　猛君外四名,,／,平成30年 3月 7日,平成30年 7月18日／東日本大震災復興特別,／,／閉会中審査,,,,平成30年 3月 8日,／,,／,／,／,／
衆法の一覧,,196,3,災害弔慰金の支給等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC83E2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605003.htm,衆法,196,3,災害弔慰金の支給等に関する法律の一部を改正する法律案,階　猛君外四名,,／,平成30年 3月 7日,平成30年 7月18日／東日本大震災復興特別,／,／閉会中審査,,,,平成30年 3月 8日,／,,／,／,／,／
衆法の一覧,,196,4,東日本大震災復興特別区域法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC83EA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605004.htm,衆法,196,4,東日本大震災復興特別区域法の一部を改正する法律案,階　猛君外四名,,／,平成30年 3月 7日,平成30年 7月18日／東日本大震災復興特別,／,／閉会中審査,,,,平成30年 3月 8日,／,,／,／,／,／
