キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,207,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E8A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705001.htm,衆法,207,1,,足立　康史君外一名,,／,,令和 4年 1月17日／議院運営,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,2,揮発油等の価格の高騰から国民生活及び国民経済を守るための東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律及び地方税法の一部を改正する等の法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E12.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705002.htm,衆法,207,2,,足立　康史君外二名,,／,,令和 4年 1月17日／財務金融,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,3,現下の揮発油等の価格の高騰から国民生活及び国民経済を守るための揮発油税等に関する法律の臨時特例等に関する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E16.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705003.htm,衆法,207,3,,末松　義規君外七名,,／,,令和 4年 1月17日／財務金融,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,4,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E8E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705004.htm,衆法,207,4,,篠原　孝君外七名,,／,,令和 4年 1月17日／議院運営,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,6,新型コロナウイルス感染症等による経済活動への影響に対する当面の対策として消費税の税率を引き下げる等のために講ずべき措置に関する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E1A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705006.htm,衆法,207,6,,足立　康史君外四名,,／,,令和 4年 1月17日／財務金融,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,9,自衛隊法及び海上保安庁法の一部を改正する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E22.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705009.htm,衆法,207,9,,前原　誠司君外一名,,／,,令和 4年 1月17日／安全保障,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,10,新型コロナウイルス感染症等の影響を受けた低所得者に対する特別給付金の支給に関する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4DEA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705010.htm,衆法,207,10,,中谷　一馬君外十三名,,／,,令和 4年 1月17日／内閣,／,／,,,,,／,,／,／,／,／
衆法の一覧,,207,11,領域等の警備及び海上保安体制の強化に関する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD4E26.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20705011.htm,衆法,207,11,,篠原　豪君外十四名,,／,,令和 4年 1月17日／安全保障,／,／,,,,,／,,／,／,／,／
衆法の一覧,,208,1,国会議員の歳費、旅費及び手当等に関する法律の一部を改正する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD5066.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805001.htm,衆法,208,1,,藤田　文武君外六名,,／,令和 4年 1月17日,／,／,／,,,,令和 4年 1月17日,／,,／,／,／,／
衆法の一覧,,208,2,令和三年度子育て世帯臨時特別給付金の支給を受けていない特定養育者を支援するための特定養育者支援給付金の支給等に関する法律案,衆議院で審議中,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DD5076.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g20805002.htm,衆法,208,2,,城井　崇君外十名,,／,令和 4年 1月18日,／,／,／,,,,令和 4年 1月18日,／,,／,／,／,／
