キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F2A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305006.htm,衆法,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,小宮山　洋子君外四名,,／,,平成19年 1月25日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0FD2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305007.htm,衆法,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,山田　正彦君外六名,,／,,平成19年 1月25日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0FD6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305008.htm,衆法,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,山田　正彦君外六名,,／,,平成19年 1月25日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,12,道路交通法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F2E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305012.htm,衆法,163,12,道路交通法の一部を改正する法律案,小宮山　洋子君外三名,,／,,平成19年 1月25日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA102E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305014.htm,衆法,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,井上　義久君外一名,,／,,平成19年 1月25日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,15,海底資源開発推進法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F1E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305015.htm,衆法,163,15,海底資源開発推進法案,細野　豪志君外三名,,／,,平成19年 1月25日／経済産業,平成19年 4月 4日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F22.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305016.htm,衆法,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,細野　豪志君外三名,,／,,平成19年 1月25日／経済産業,平成19年 4月 4日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,164,13,刑事訴訟法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F6E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405013.htm,衆法,164,13,刑事訴訟法の一部を改正する法律案,河村　たかし君外二名,,／,,平成19年 1月25日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,14,臓器の移植に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F02.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405014.htm,衆法,164,14,臓器の移植に関する法律の一部を改正する法律案,中山　太郎君外五名,,／,,平成19年 1月25日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,15,臓器の移植に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F0A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405015.htm,衆法,164,15,臓器の移植に関する法律の一部を改正する法律案,斉藤　鉄夫君外三名,,／,,平成19年 1月25日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,24,海洋構築物等に係る安全水域の設定等に関する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0FDE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405024.htm,衆法,164,24,海洋構築物等に係る安全水域の設定等に関する法律案,石破　茂君外四名,,／,,平成19年 1月25日／国土交通,平成19年 4月 3日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,164,26,消費生活用製品等及び特定生活関連物品に係る危険情報の提供の促進等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F32.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405026.htm,衆法,164,26,消費生活用製品等及び特定生活関連物品に係る危険情報の提供の促進等に関する法律案,長妻　昭君外二名,,／,,平成19年 1月25日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,27,国立国会図書館法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA1022.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405027.htm,衆法,164,27,国立国会図書館法の一部を改正する法律案,鳩山　由紀夫君外七名,,／,,平成19年 1月25日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,30,日本国憲法の改正手続に関する法律案,衆議院で併合修正,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F12.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405030.htm,衆法,164,30,日本国憲法の改正手続に関する法律案,保岡　興治君外五名,,／,,平成19年 1月25日／日本国憲法に関する調査特別,平成19年 4月12日／併合修正,平成19年 4月13日／併合修正,,,,,／,,／,／,／,／
衆法の一覧,,164,31,日本国憲法の改正及び国政における重要な問題に係る案件の発議手続及び国民投票に関する法律案,衆議院で併合修正,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F16.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405031.htm,衆法,164,31,日本国憲法の改正及び国政における重要な問題に係る案件の発議手続及び国民投票に関する法律案,枝野　幸男君外三名,,／,,平成19年 1月25日／日本国憲法に関する調査特別,平成19年 4月12日／併合修正,平成19年 4月13日／併合修正,,,,,／,,／,／,／,／
衆法の一覧,,166,,日本国憲法の改正及び国政における重要な問題に係る案件の発議手続及び国民投票に関する法律案に対する修正案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA18CE.htm,,,衆法,166,,日本国憲法の改正及び国政における重要な問題に係る案件の発議手続及び国民投票に関する法律案に対する修正案,枝野　幸男君外二名,,／,平成19年 4月13日,／,／,平成19年 4月13日／否決,,,,,／,,／,／,／,／
衆法の一覧,,166,,日本国憲法の改正手続に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA18D2.htm,,,衆法,166,,日本国憲法の改正手続に関する法律案,,,／,,／,／,平成19年 4月13日／併合修正,,,,,／,平成19年 4月13日,平成19年 4月16日／日本国憲法に関する調査特別,平成19年 5月11日／可決,平成19年 5月14日／可決,平成19年 5月18日／51
衆法の一覧,,164,35,民法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F72.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405035.htm,衆法,164,35,民法の一部を改正する法律案,枝野　幸男君外七名,,／,,平成19年 1月25日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,39,地理空間情報活用推進基本法案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0F36.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405039.htm,衆法,164,39,地理空間情報活用推進基本法案,額賀　福志郎君外九名,,／,,平成19年 1月25日／内閣,平成19年 5月11日／撤回許可,／,,,,,／,,／,／,／,／
