キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,163,1,郵政改革法案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B7C6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305001.htm,衆法,163,1,郵政改革法案,松本　剛明君外七名,,／,平成17年10月 3日,平成17年10月 6日／郵政民営化に関する特別,平成17年10月11日／否決,平成17年10月11日／否決,,,,平成17年10月 4日,／,,／,／,／,／
衆法の一覧,,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B7B6.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305002.htm,衆法,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,宮路和明君外三名,,／,平成17年10月 5日,平成17年10月27日／総務,／,／閉会中審査,,,,平成17年10月 6日,／,,／,／,／,／
衆法の一覧,,163,3,イラクにおける人道復興支援活動及び安全確保支援活動の実施に関する特別措置法を廃止する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B81E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305003.htm,衆法,163,3,イラクにおける人道復興支援活動及び安全確保支援活動の実施に関する特別措置法を廃止する法律案,末松　義規君外三名,,／,平成17年10月 6日,平成17年10月25日／国際テロリズムの防止及び我が国の協力支援活動並びにイラク人道復興支援活動等に関する特別,／審査未了,／,,,,平成17年10月 7日,／,,／,／,／,／
衆法の一覧,,163,4,政治資金規正法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B89A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305004.htm,衆法,163,4,政治資金規正法の一部を改正する法律案,佐田　玄一郎君外六名,,／,平成17年10月11日,平成17年10月12日／政治倫理の確立及び公職選挙法改正に関する特別,平成17年10月14日／可決,平成17年10月18日／可決,,,,平成17年10月12日,／,平成17年10月18日,平成17年10月18日／政治倫理の確立及び選挙制度に関する特別,平成17年10月21日／可決,平成17年10月26日／可決,平成17年11月 2日／104
衆法の一覧,,163,5,政治資金規正法等の一部を改正する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B8CA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305005.htm,衆法,163,5,政治資金規正法等の一部を改正する法律案,松本　剛明君外七名,,／,平成17年10月12日,平成17年10月13日／政治倫理の確立及び公職選挙法改正に関する特別,平成17年10月14日／否決,平成17年10月18日／否決,,,,平成17年10月13日,／,,／,／,／,／
衆法の一覧,,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B8DA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305006.htm,衆法,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,小宮山　洋子君外四名,,／,平成17年10月12日,平成17年10月27日／内閣,／,／閉会中審査,,,,平成17年10月13日,／,,／,／,／,／
衆法の一覧,,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B8F6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305007.htm,衆法,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,山田　正彦君外六名,,／,平成17年10月13日,平成17年10月27日／農林水産,／,／閉会中審査,,,,平成17年10月14日,／,,／,／,／,／
衆法の一覧,,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B902.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305008.htm,衆法,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,山田　正彦君外六名,,／,平成17年10月13日,平成17年10月27日／農林水産,／,／閉会中審査,,,,平成17年10月14日,／,,／,／,／,／
衆法の一覧,,163,9,政治資金規正法の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B88E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305009.htm,衆法,163,9,政治資金規正法の一部を改正する法律案,政治倫理の確立及び公職選挙法改正に関する特別委員長,,／,平成17年10月14日,／審査省略,／,平成17年10月18日／可決,,,,平成17年10月17日,／,平成17年10月18日,平成17年10月18日／政治倫理の確立及び選挙制度に関する特別,平成17年10月21日／可決,平成17年10月26日／可決,平成17年11月 2日／105
衆法の一覧,,163,10,障害者の自立の支援及び社会参加の促進のための身体障害者福祉法等の一部を改正する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D9B92A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305010.htm,衆法,163,10,障害者の自立の支援及び社会参加の促進のための身体障害者福祉法等の一部を改正する法律案,山井　和則君外五名,,／,平成17年10月14日,平成17年10月18日／厚生労働,平成17年10月28日／否決,平成17年10月31日／否決,,,,平成17年10月17日,／,,／,／,／,／
