キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D48386.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805001.htm,衆法,148,1,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,冬柴　鐵三君外一名,,／,,平成13年 1月31日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4838A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14805002.htm,衆法,148,2,永住外国人に対する地方公共団体の議会の議員及び長の選挙権等の付与に関する法律案,北橋　健治君外六名,,／,,平成13年 1月31日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,150,16,特殊法人等改革基本法案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D4838E.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005016.htm,衆法,150,16,特殊法人等改革基本法案,太田　誠一君外四名,,／,,平成13年 1月31日／内閣,平成13年 6月 8日／可決,平成13年 6月 8日／可決,,,,,／,平成13年 6月 8日,平成13年 6月12日／内閣,平成13年 6月19日／可決,平成13年 6月20日／可決,平成13年 6月21日／58
衆法の一覧,,150,18,国立国会図書館法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D485C2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005018.htm,衆法,150,18,国立国会図書館法の一部を改正する法律案,鳩山　由紀夫君外五名,,／,,平成13年 1月31日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,150,19,被災者生活再建支援法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D485C6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005019.htm,衆法,150,19,被災者生活再建支援法の一部を改正する法律案,前原　誠司君外二名,,／,,平成13年 1月31日／災害対策特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,150,20,災害弔慰金の支給等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D485CA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15005020.htm,衆法,150,20,災害弔慰金の支給等に関する法律の一部を改正する法律案,前原　誠司君外二名,,／,,平成13年 1月31日／災害対策特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,151,1,平成十二年度の水田農業経営確立助成補助金等についての所得税及び法人税の臨時特例に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D48AA2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15105001.htm,衆法,151,1,平成十二年度の水田農業経営確立助成補助金等についての所得税及び法人税の臨時特例に関する法律案,財務金融委員長,,／,平成13年 2月 8日,／審査省略,／,平成13年 2月 9日／可決,,,,平成13年 2月 8日,平成13年 2月 8日／財政金融,平成13年 2月 9日,平成13年 2月 9日／財政金融,平成13年 2月13日／可決,平成13年 2月14日／可決,平成13年 2月20日／1
衆法の一覧,,151,2,特定非営利活動の促進のための法人税法等の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D48FFE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15105002.htm,衆法,151,2,特定非営利活動の促進のための法人税法等の一部を改正する法律案,岡田　克也君外七名,,／,平成13年 2月26日,平成13年 2月27日／財務金融,／審査未了,／,,,,平成13年 2月27日,／,,／,／,／,／
衆法の一覧,,151,3,特定非営利活動の促進のための地方税法の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D49002.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15105003.htm,衆法,151,3,特定非営利活動の促進のための地方税法の一部を改正する法律案,岡田　克也君外七名,,／,平成13年 2月26日,平成13年 2月27日／総務,／審査未了,／,,,,平成13年 2月27日,／,,／,／,／,／
衆法の一覧,,151,4,公職にある者等のあっせん行為による利得等の処罰に関する法律の一部を改正する法律案,未了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1D5B2E2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g15105004.htm,衆法,151,4,公職にある者等のあっせん行為による利得等の処罰に関する法律の一部を改正する法律案,菅　直人君外十二名,,／,平成13年 3月 2日,／,／,／,,,,平成13年 3月 5日,／,,／,／,／,／
