キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05A6.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305002.htm,衆法,163,2,独立行政法人平和祈念事業特別基金等に関する法律の廃止等に関する法律案,宮路　和明君外三名,,／,,平成18年 9月26日／総務,平成18年12月 7日／修正,平成18年12月 8日／修正,,,,,／,平成18年12月 8日,平成18年12月11日／総務,平成18年12月14日／可決,平成18年12月15日／可決,平成18年12月22日／119
衆法の一覧,,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0512.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305006.htm,衆法,163,6,人身取引等の防止及び人身取引等の被害者の保護に関する法律案,小宮山　洋子君外四名,,／,,平成18年 9月26日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0526.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305007.htm,衆法,163,7,牛海綿状脳症対策特別措置法の一部を改正する法律案,山田　正彦君外六名,,／,,平成18年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA052A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305008.htm,衆法,163,8,輸入牛肉に係る情報の管理及び伝達に関する特別措置法案,山田　正彦君外六名,,／,,平成18年 9月26日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,12,道路交通法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0516.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305012.htm,衆法,163,12,道路交通法の一部を改正する法律案,小宮山　洋子君外三名,,／,,平成18年 9月26日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA0572.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305014.htm,衆法,163,14,永住外国人に対する地方公共団体の議会の議員及び長の選挙権の付与に関する法律案,井上　義久君外一名,,／,,平成18年 9月28日／政治倫理の確立及び公職選挙法改正に関する特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,15,海底資源開発推進法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA04E6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305015.htm,衆法,163,15,海底資源開発推進法案,細野　豪志君外四名,,／,,平成18年 9月26日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA04EA.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305016.htm,衆法,163,16,排他的経済水域等における天然資源の探査及び海洋の科学的調査に関する主権的権利その他の権利の行使に関する法律案,細野　豪志君外四名,,／,,平成18年 9月26日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,163,18,戦後強制抑留者に対する特別給付金の支給に関する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05AA.htm,本文及び修正案,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305018.htm,衆法,163,18,戦後強制抑留者に対する特別給付金の支給に関する法律案,長妻　昭君外六名,,／,,平成18年 9月26日／総務,平成18年12月 7日／否決,平成18年12月 8日／否決,,,,,／,,／,／,／,／
衆法の一覧,,163,19,独立行政法人平和祈念事業特別基金等に関する法律を廃止する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05AE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16305019.htm,衆法,163,19,独立行政法人平和祈念事業特別基金等に関する法律を廃止する法律案,長妻　昭君外六名,,／,,平成18年 9月26日／総務,平成18年12月 7日／否決,平成18年12月 8日／否決,,,,,／,,／,／,／,／
衆法の一覧,,164,5,官製談合等の防止のための刑法等の一部を改正する法律案,本院議了,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA052E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405005.htm,衆法,164,5,官製談合等の防止のための刑法等の一部を改正する法律案,達増　拓也君外五名,,／,,平成18年 9月26日／経済産業,平成18年11月29日／否決,平成18年11月30日／否決,,,,,／,,／,／,／,／
衆法の一覧,,164,7,入札談合等関与行為の排除及び防止に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA04F6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405007.htm,衆法,164,7,入札談合等関与行為の排除及び防止に関する法律の一部を改正する法律案,保岡　興治君外六名,,／,,平成18年 9月26日／経済産業,平成18年11月29日／可決,平成18年11月30日／可決,,,,,／,平成18年11月30日,平成18年12月 4日／経済産業,平成18年12月 7日／可決,平成18年12月 8日／可決,平成18年12月15日／110
衆法の一覧,,164,13,刑事訴訟法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05BE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405013.htm,衆法,164,13,刑事訴訟法の一部を改正する法律案,河村　たかし君外二名,,／,,平成18年 9月26日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,14,臓器の移植に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05EE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405014.htm,衆法,164,14,臓器の移植に関する法律の一部を改正する法律案,中山　太郎君外五名,,／,,平成18年 9月26日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,164,15,臓器の移植に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DA05F2.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g16405015.htm,衆法,164,15,臓器の移植に関する法律の一部を改正する法律案,斉藤　鉄夫君外三名,,／,,平成18年 9月26日／厚生労働,／,／閉会中審査,,,,,／,,／,／,／,／
