キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,140,34,議院における証人の宣誓及び証言等に関する法律の一部を改正する法律案,成立,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE3882.htm,,,衆法,140,34,議院における証人の宣誓及び証言等に関する法律の一部を改正する法律案,議院運営委員長,,／,,平成10年 7月30日／議院運営,平成10年10月13日／可決,平成10年10月13日／可決,,,,,／,平成10年10月13日,平成10年10月13日／議院運営,平成10年10月14日／可決,平成10年10月14日／可決,平成10年10月21日／138
衆法の一覧,,141,5,情報公開法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE387E.htm,,,衆法,141,5,情報公開法案,松本　善明君外一名,,／,,平成10年 7月30日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,3,国家公務員の倫理の保持に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE387A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205003.htm,衆法,142,3,国家公務員の倫理の保持に関する法律案,倉田　栄喜君外九名,,／,,平成10年 7月30日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,4,国会職員の倫理の保持に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE3876.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205004.htm,衆法,142,4,国会職員の倫理の保持に関する法律案,倉田　栄喜君外八名,,／,,平成10年 7月30日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,5,政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE3872.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205005.htm,衆法,142,5,政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,倉田　栄喜君外八名,,／,,平成10年 7月30日／議院運営,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,11,行政情報の公開に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE386E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205011.htm,衆法,142,11,行政情報の公開に関する法律案,北村　哲男君外五名,,／,,平成10年 7月30日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,12,国民の祝日に関する法律の一部を改正する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE386A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205012.htm,衆法,142,12,国民の祝日に関する法律の一部を改正する法律案,海江田　万里君外五名,,／,,平成10年 7月30日／内閣,平成10年10月 6日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,142,14,中高一貫教育の推進に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE3866.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205014.htm,衆法,142,14,中高一貫教育の推進に関する法律案,藤村　修君外三名,,／,,平成10年 7月30日／文教,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,142,15,国民の祝日に関する法律の一部を改正する法律案,撤回,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE3862.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205015.htm,衆法,142,15,国民の祝日に関する法律の一部を改正する法律案,原田昇左右君外五名,,／,,平成10年 7月30日／内閣,平成10年10月 6日／撤回許可,／,,,,,／,,／,／,／,／
衆法の一覧,,142,17,政治資金規正法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1CE385E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g14205017.htm,衆法,142,17,政治資金規正法の一部を改正する法律案,松本　善明君外一名,,／,,平成10年 8月 4日／公職選挙法改正に関する調査特別,／,／閉会中審査,,,,,／,,／,／,／,／
